,State,2004_women,2004_res,2005_women,2005_res,2006_women,2006_res,2007_women,2007_res,2008_women,2008_res,2009_women,2009_res,2010_women,2010_res,2011_women,2011_res,women_population,res_population
0,Jharkhand,19.11,33.41,21.64,12.76,20.81,12.96,21.58,13.66,23.05,13.72,24.04,40.95,24.9,41.32,24.68,43.17,47.4,89.0
1,Dadra and Nagar Haveli,22.07,34.66,21.49,12.83,25.36,14.8,28.7,16.43,32.8,14.56,32.04,33.11,30.89,35.14,30.6,35.02,38.7,67.74
2,Punjab,37.04,44.44,24.36,14.1,42.55,12.77,28.46,15.45,36.5,21.17,38.16,53.62,36.77,63.23,38.2,58.43,44.75,51.0
3,Sikkim,31.58,28.07,32.31,7.69,29.58,9.86,25.27,12.09,33.61,14.29,39.39,28.03,38.79,22.42,32.95,26.14,44.5,67.74
4,Rajasthan,33.33,50.0,28.57,14.29,0.0,0.0,34.38,9.38,18.75,6.25,27.27,42.42,38.89,38.89,26.09,43.48,46.4,85.0
5,Delhi,24.34,40.89,21.63,21.36,20.78,21.21,23.59,21.35,23.47,20.91,27.41,53.59,25.66,54.53,26.12,54.93,43.4,67.74
6,Chandigarh,23.5,37.22,25.97,15.1,27.82,14.91,29.45,14.83,28.05,13.59,28.55,42.9,28.49,41.4,28.85,40.09,40.9,67.74
7,Karnataka,14.8,37.21,15.09,15.52,14.68,16.55,15.83,17.27,18.03,20.62,17.05,50.32,18.5,53.62,16.73,56.59,48.65,88.0
8,Nagaland,25.09,31.83,19.75,10.63,21.7,11.42,22.7,12.55,24.92,12.42,25.92,37.28,25.73,36.69,23.65,36.76,46.55,67.74
9,Tripura,16.56,54.48,14.69,18.11,15.83,17.05,16.87,17.64,17.47,19.15,19.35,59.31,21.82,58.96,20.76,59.93,49.4,67.74
10,Andaman and Nicobar Islands,20.59,36.76,24.9,7.95,24.93,7.04,28.12,7.59,26.43,7.54,25.11,19.76,26.44,21.01,27.49,23.02,43.8,67.74
11,Goa,23.81,33.33,27.59,20.69,23.33,16.67,18.75,3.12,25.81,11.29,28.07,42.11,37.04,53.7,18.92,44.59,48.65,67.74
12,Jammu and Kashmir,36.0,48.0,40.0,24.0,41.79,13.43,32.0,21.33,37.04,29.63,41.43,31.43,39.8,35.71,36.67,32.5,44.45,30.0
13,Maharashtra,31.82,59.09,32.67,27.72,38.41,36.96,42.97,25.0,40.83,37.28,39.35,70.32,46.55,64.94,37.13,66.83,46.45,57.0
14,Arunachal Pradesh,29.42,28.15,26.36,12.03,24.73,10.9,24.23,9.42,22.69,10.93,26.85,29.07,25.25,29.38,24.4,29.94,46.9,77.0
15,Uttarakhand,11.59,65.97,12.09,15.82,14.04,15.32,11.96,17.57,13.71,17.72,12.64,64.71,13.95,65.38,13.06,66.71,48.15,55.0
16,Tamil Nadu,13.49,38.19,12.93,14.64,13.81,14.84,15.0,15.77,15.54,16.13,16.76,41.49,17.48,41.56,17.1,42.18,49.8,96.0
17,Gujarat,20.0,80.0,18.75,12.5,25.0,33.33,14.29,28.57,21.43,7.14,26.67,50.0,24.24,51.52,20.69,75.86,45.95,71.0
18,Odisha,23.74,40.64,22.8,12.98,25.75,13.38,28.04,15.35,33.26,15.74,31.15,40.15,31.59,42.87,30.92,42.63,48.95,85.0
19,Pondicherry,21.91,29.26,0.0,0.0,0.0,0.0,24.3,7.92,25.11,8.12,25.74,28.87,26.84,29.73,24.29,27.93,51.85,67.74
20,Daman and Diu,29.41,23.53,0.0,0.0,20.0,25.0,23.08,15.38,21.74,21.74,31.67,53.33,30.36,57.14,32.0,54.0,30.9,67.74
21,Meghalaya,27.81,43.28,31.83,25.21,31.37,22.94,34.41,22.92,33.77,21.07,32.88,41.96,33.28,42.36,32.08,41.03,49.45,67.74
22,Bihar,25.97,26.34,26.86,7.46,28.19,8.46,28.95,8.06,29.38,7.93,29.38,26.63,28.03,26.07,26.34,27.84,45.9,85.0
23,Kerala,36.73,34.69,22.58,14.52,23.17,4.88,41.61,10.07,34.13,11.38,30.52,35.34,25.63,38.66,31.88,36.68,54.2,79.0
24,Haryana,28.96,18.33,21.08,4.95,26.72,4.05,27.26,3.2,31.06,4.78,35.1,20.13,35.17,19.35,30.16,19.17,43.95,53.0
25,Manipur,24.8,33.67,21.06,5.71,19.54,8.05,24.24,9.92,23.62,8.28,27.24,36.34,28.02,36.59,26.99,32.62,49.6,67.74
26,Assam,30.72,46.33,32.68,23.03,35.46,23.6,37.18,23.59,37.6,25.51,38.98,50.65,35.92,51.68,36.36,52.02,47.9,46.0
27,Madhya Pradesh,34.88,41.86,29.41,13.73,29.17,14.58,22.77,13.86,33.8,12.68,41.3,45.65,37.5,43.27,31.58,45.61,46.55,85.0
28,Uttar Pradesh,25.0,50.0,33.33,33.33,50.0,25.0,23.08,30.77,18.75,18.75,38.46,15.38,33.33,44.44,23.08,46.15,45.6,88.0
29,Himachal Pradesh,31.12,39.24,29.57,18.16,33.67,18.56,36.18,18.23,44.12,15.47,45.62,41.48,46.16,41.75,45.9,41.13,48.6,45.0
30,Chattisgarh,20.0,50.43,17.31,25.0,21.58,26.62,29.03,24.19,34.16,26.24,28.19,52.42,29.21,55.45,25.64,54.21,49.55,92.0
31,Lakshadweep Islands,29.34,59.05,34.16,34.05,34.65,34.68,35.51,35.89,35.44,34.08,35.32,62.83,36.59,62.61,35.57,63.68,47.35,67.74
32,Mizoram,26.24,21.27,27.97,4.8,25.99,4.37,29.63,5.8,26.86,3.78,26.32,20.33,27.36,23.36,26.55,21.26,48.8,67.74
33,Andhra Pradesh,26.37,17.65,22.83,4.03,24.1,4.44,25.05,3.99,29.57,4.8,32.95,18.14,35.7,16.56,33.39,18.16,49.65,79.0
34,West Bengal,0.0,0.0,0.0,0.0,75.0,25.0,33.33,26.67,50.0,50.0,0.0,0.0,0.0,0.0,38.46,69.23,47.5,45.0
35,Telangana,26.37,17.65,22.83,4.03,24.1,4.44,25.05,3.99,29.57,4.8,32.95,18.14,35.7,16.56,33.39,18.16,49.65,77.0
