,state,names,unique names,male,unique male,female,unique female
0,daman,113136,108032,56381,53605,55712,53391
1,manipur,1909440,1193419,919194,589948,966053,580415
2,meghalaya,1922098,1506434,942317,737951,959827,748820
3,nagaland,1177288,558415,583172,295039,583315,253274
4,arunachal,777449,591152,380317,292544,390608,292158
5,delhi,14039285,2458838,7634450,1430743,6305806,966324
6,sikkim,398936,168490,200894,88209,193654,76145
7,goa,1053415,744309,512134,361380,530032,372029
8,mizoram,826015,306233,395634,158144,411910,134305
